"STATION","NAME","DATE","CDSD","CLDD","DP01","DP10","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","HTDD","PRCP","SNOW","TAVG","TMAX","TMIN"
"USW00014739","BOSTON, MA US","2014-04","1","1","13","9",,"0","0","3","0","2","0","31",,"0.3","0.67","75","5665","507","3.23","0.3","48.1","56.1","40.1"
"USW00014739","BOSTON, MA US","2014-05","21","20","13","7",,"0","0","0","0","8","0","43",,"0.0","0.65","85","5880","215","2.86","0.0","58.7","66.4","51.0"
"USW00014739","BOSTON, MA US","2014-06","152","132","7","5",,"0","0","0","0","24","0","51",,"0.0","0.85","89","5911","31","2.62","0.0","68.3","76.6","60.1"
"USW00014739","BOSTON, MA US","2014-07","433","281","8","7",,"0","0","0","0","31","4","59",,"0.0","1.88","92","0","0","4.57","0.0","74.1","82.1","66.0"
"USW00014739","BOSTON, MA US","2014-08","613","179","7","2",,"0","0","0","0","30","1","58",,"0.0","1.06","91","0","0","1.75","0.0","70.8","78.3","63.2"
"USW00014739","BOSTON, MA US","2014-09","728","115","6","4",,"0","0","0","0","18","3","46",,"0.0","0.22","93","79","79","0.70","0.0","66.2","74.2","58.3"
"USW00014739","BOSTON, MA US","2014-10","737","9","12","7",,"0","0","0","0","8","0","39",,"0.0","2.25","81","356","277","5.84","0.0","56.4","63.0","49.7"
"USW00014739","BOSTON, MA US","2014-11","737","0","10","8",,"1","0","11","0","0","0","23",,"2.3","1.64","66","1030","674","5.27","2.6","42.5","49.5","35.5"
"USW00014739","BOSTON, MA US","2014-12","737","0","17","11",,"0","0","15","3","0","0","18",,"0.3","2.90","64","1859","829","6.57","0.3","38.3","43.7","32.8"
"USW00014739","BOSTON, MA US","2015-01","0","0","13","8",,"5","1","29","13","0","0","-1",,"22.1","0.95","52","3063","1203","3.57","34.3","26.2","33.2","19.2"
"USW00014739","BOSTON, MA US","2015-02","0","0","18","7",,"9","2","28","22","0","0","-3",,"16.2","0.88","39","4347","1284","3.38","64.8","19.1","27.9","10.3"
"USW00014739","BOSTON, MA US","2015-03","0","0","15","8",,"4","0","26","4","0","0","9",,"2.9","0.80","57","5329","983","3.05","8.6","33.3","40.9","25.7"
"USW00014739","BOSTON, MA US","2015-04","0","0","12","5",,"0","0","3","0","0","0","30",,"0.0","0.61","69","5839","510","2.28","0.0","48.0","55.8","40.2"
"USW00014739","BOSTON, MA US","2015-05","59","59","4","2",,"0","0","0","0","19","0","39",,"0.0","0.91","89","5982","143","1.22","0.0","62.3","73.2","51.4"
"USW00014739","BOSTON, MA US","2015-06","152","93","9","6",,"0","0","0","0","19","0","46",,"0.0","1.72","88","6086","103","5.02","0.0","64.7","72.0","57.3"
"USW00014739","BOSTON, MA US","2015-07","429","277","9","4",,"0","0","0","0","28","4","59",,"0.0","1.12","92","1","1","2.09","0.0","73.9","81.5","66.2"
"USW00014739","BOSTON, MA US","2015-08","728","299","6","4",,"0","0","0","0","31","6","61",,"0.0","0.83","91","1","0","2.19","0.0","74.6","82.7","66.6"
"USW00014739","BOSTON, MA US","2015-09","889","162","8","5",,"0","0","0","0","23","4","48",,"0.0","2.46","96","37","35","3.94","0.0","69.2","77.4","61.0"
"USW00014739","BOSTON, MA US","2015-10","890","1","8","4",,"0","0","1","0","6","0","31",,"0.0","0.73","76","379","342","1.74","0.0","54.0","61.4","46.6"
"USW00014739","BOSTON, MA US","2015-11","893","2","8","4",,"0","0","6","0","3","0","28",,"0.0","0.86","76","874","495","2.07","0.0","48.6","55.8","41.3"
"USW00014739","BOSTON, MA US","2015-12","893","0","13","10",,"0","0","6","0","0","0","24",,"0.9","1.02","69","1486","612","4.28","0.9","45.3","51.7","38.8"
"USW00014739","BOSTON, MA US","2016-01","0","0","7","5",,"3","0","25","6","0","0","8",,"6.1","1.38","58","2490","1005","3.27","9.5","32.6","39.5","25.7"
"USW00014739","BOSTON, MA US","2016-02","0","0","10","7",,"3","2","18","5","0","0","-9",,"6.8","0.96","65","3367","877","4.18","15.1","34.8","43.8","25.8"
"USW00014739","BOSTON, MA US","2016-03","0","0","13","7",,"1","0","9","1","2","0","21",,"3.6","1.14","77","4064","697","3.17","4.1","42.5","50.0","35.0"
"USW00014739","BOSTON, MA US","2016-04","3","3","10","6",,"2","0","6","1","2","0","22",,"4.7","1.03","78","4604","540","2.91","6.6","47.1","54.6","39.6"
"USW00014739","BOSTON, MA US","2016-05","42","39","10","8",,"0","0","0","0","14","1","42",,"0.0","1.13","92","4842","238","2.83","0.0","58.6","66.5","50.7"
"USW00014739","BOSTON, MA US","2016-06","164","122","7","3",,"0","0","0","0","26","0","54",,"0.0","0.91","87","4861","19","1.33","0.0","68.4","76.8","60.0"
"USW00014739","BOSTON, MA US","2016-07","515","351","8","4",,"0","0","0","0","28","12","59",,"0.0","0.23","98","7","7","0.87","0.0","76.1","84.7","67.4"
"USW00014739","BOSTON, MA US","2016-08","869","354","8","4",,"0","0","0","0","31","7","61",,"0.0","0.89","98","7","0","1.72","0.0","76.4","84.7","68.1"
"USW00014739","BOSTON, MA US","2016-09","993","124","11","5",,"0","0","0","0","23","2","48",,"0.0","0.34","93","56","48","1.39","0.0","67.5","74.4","60.7"
"USW00014739","BOSTON, MA US","2016-10","1005","12","11","8",,"0","0","0","0","5","0","34",,"0.0","1.84","81","367","312","5.46","0.0","55.3","62.4","48.2"
"USW00014739","BOSTON, MA US","2016-11","1005","0","10","3",,"0","0","3","0","1","0","30",,"0.0","0.99","70","931","564","2.70","0.0","46.2","53.5","38.9"
"USW00014739","BOSTON, MA US","2016-12","1005","0","12","7",,"1","0","20","3","0","0","4",,"4.3","1.16","58","1852","920","3.26","5.9","35.3","42.0","28.7"
"USW00014739","BOSTON, MA US","2017-01","0","0","17","8",,"2","0","18","6","0","0","11",,"7.0","1.09","61","2778","926","4.25","8.9","35.1","41.0","29.3"
"USW00014739","BOSTON, MA US","2017-02","0","0","10","6",,"6","0","20","2","1","0","11",,"10.9","1.25","73","3571","793","3.22","21.5","36.7","44.7","28.6"
"USW00014739","BOSTON, MA US","2017-03","0","0","13","5",,"2","0","21","5","0","0","9",,"6.6","1.62","63","4529","959","4.18","10.1","34.1","41.4","26.7"
"USW00014739","BOSTON, MA US","2017-04","18","18","12","6",,"1","0","0","0","7","0","33",,"1.2","1.56","86","4946","417","5.74","1.2","51.7","59.8","43.5"
"USW00014739","BOSTON, MA US","2017-05","59","41","14","7",,"0","0","0","0","4","3","42",,"0.0","0.95","95","5256","310","3.45","0.0","56.3","62.5","50.1"
"USW00014739","BOSTON, MA US","2017-06","245","186","14","7",,"0","0","0","0","25","4","47",,"0.0","2.13","95","5308","52","4.85","0.0","69.5","78.4","60.5"
"USW00014739","BOSTON, MA US","2017-07","488","243","10","8",,"0","0","0","0","28","4","56",,"0.0","1.41","93","11","11","4.03","0.0","72.5","80.0","65.0"
